Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
phnF,12,1817,7.242380203512959,1805,Upregulated,100000,3
phnG,4,1004,7.971543553950772,1000,Upregulated,100000,3
phnH,2,1362,9.411510988012072,1360,Upregulated,100000,3
phnI,4,2328,9.184875342908283,2324,Upregulated,100000,3
phnJ,12,2435,7.664743556248548,2423,Upregulated,100000,3
phnK,15,1614,6.749534267669262,1599,Upregulated,100000,3
phnL,40,2108,5.719731056749852,2068,Upregulated,100000,3
phnM,29,3408,6.876728625098266,3379,Upregulated,100000,3
phnN,33,1465,5.472290829951157,1432,Upregulated,100000,3
phnO,153,1071,2.807354922057604,918,Unchanged,100000,3
phnP,181,1876,3.373598225432171,1695,Upregulated,100000,3
rpiB,45,889,4.304186512500095,844,Upregulated,100000,3
alsR,590,1545,1.3888199785425335,955,Unchanged,100000,3
alsB,88,1801,4.355150847268979,1713,Upregulated,100000,3
alsA,24,2769,6.850186837645774,2745,Upregulated,100000,3
alsC,25,2036,6.34766565630097,2011,Upregulated,100000,3
alsE,43,1228,4.835830090668082,1185,Upregulated,100000,3
alsK,110,1821,4.0491554934521785,1711,Upregulated,100000,3
yjcS,27,3694,7.09608064881897,3667,Upregulated,100000,3
mdtN,13,1986,7.255210189387282,1973,Upregulated,100000,3
mdtO,55,4169,6.24412594328373,4114,Upregulated,100000,3
mdtP,42,3298,6.295058260658707,3256,Upregulated,100000,3
fdhF,4319,4771,0.14359436977728296,452,Unchanged,100000,3
yjcO,696,1490,1.0981531195007956,794,Unchanged,100000,3
gltP,6078,5245,-0.21265390205766438,-833,Unchanged,100000,3
nrfG,73,1005,3.7831552271862736,932,Upregulated,100000,3
nrfF,53,582,3.4569548883450847,529,Upregulated,100000,3
nrfE,331,3870,3.547430444224555,3539,Upregulated,100000,3
nrfD,2101,2167,0.04462299142062747,66,Unchanged,100000,3
nrfC,1432,1468,0.035820475578956346,36,Unchanged,100000,3
nrfB,1324,871,-0.604158498208353,-453,Unchanged,100000,3
nrfA,7611,3380,-1.1710627736155488,-4231,Unchanged,100000,3
acs,65,4302,6.0484239963946065,4237,Upregulated,100000,3
yjcH,5,271,5.760220946466509,266,Upregulated,100000,3
actP,86,3293,5.25892204189325,3207,Upregulated,100000,3
yjcF,11,168,3.932885804141463,157,Upregulated,100000,3
yjcE,1302,4311,1.7272931140128571,3009,Unchanged,100000,3
ghxP,2213,3334,0.5912506531854052,1121,Unchanged,100000,3
soxR,143,614,2.10222350859179,471,Unchanged,100000,3
soxS,84,345,2.038135128886771,261,Unchanged,100000,3
pdeC,217,2160,3.3152643646063513,1943,Upregulated,100000,3
yjcB,58,378,2.7042614290935005,320,Unchanged,100000,3
ssb,1912,1466,-0.3831974198469366,-446,Unchanged,100000,3
uvrA,5169,8394,0.6994732609398051,3225,Unchanged,100000,3
yjbR,2674,610,-2.132118317643104,-2064,Unchanged,100000,3
yjbQ,4184,979,-2.0955020866432466,-3205,Unchanged,100000,3
aphA,502,1096,1.1264885290097546,594,Unchanged,100000,3
tyrB,1916,2412,0.33213234616390447,496,Unchanged,100000,3
alr,2452,2474,0.012886521285588268,22,Unchanged,100000,3
dnaB,4407,3311,-0.41252988588043665,-1096,Unchanged,100000,3
qorA,3702,2050,-0.8526809854777657,-1652,Unchanged,100000,3
