Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
sokX,1,1,0.0,0,Unchanged,10,5
sokE,1,1,0.0,0,Unchanged,10,5
fnrS,1,2,1.0,1,Unchanged,10,5
mgrR,1,1,0.0,0,Unchanged,10,5
yrdF,2,5,1.3219280948873624,3,Unchanged,10,5
yneO,1069,5385,2.3326844917110794,4316,Upregulated,10,5
aaaE,138,1397,3.339591848631294,1259,Upregulated,10,5
oweE,13,123,3.2420747871981477,110,Upregulated,10,5
sroH,2,16,3.0,14,Upregulated,10,5
eyeA,1,1,0.0,0,Unchanged,10,5
rzoQ,2,22,3.4594316186372973,20,Upregulated,10,5
ykgS,29,83,1.5170584362193527,54,Upregulated,10,5
shoB,1,1,0.0,0,Unchanged,10,5
yshB,4,2,-1.0,-2,Unchanged,10,5
yrbN,1,1,0.0,0,Unchanged,10,5
yqfG,1,1,0.0,0,Unchanged,10,5
yqeL,1,1,0.0,0,Unchanged,10,5
yqcG,1,1,0.0,0,Unchanged,10,5
ypdK,1,1,0.0,0,Unchanged,10,5
yohP,1,1,0.0,0,Unchanged,10,5
yoeI,1,1,0.0,0,Unchanged,10,5
yobI,1,1,0.0,0,Unchanged,10,5
yoaK,1,1,0.0,0,Unchanged,10,5
yoaJ,1,1,0.0,0,Unchanged,10,5
ynbG,1,1,0.0,0,Unchanged,10,5
ymjD,1,1,0.0,0,Unchanged,10,5
ymiB,1,1,0.0,0,Unchanged,10,5
ykgR,1,1,0.0,0,Unchanged,10,5
yjeV,1,1,0.0,0,Unchanged,10,5
ilvX,1,1,0.0,0,Unchanged,10,5
ibsB,1,1,0.0,0,Unchanged,10,5
ibsA,1,1,0.0,0,Unchanged,10,5
ibsE,1,1,0.0,0,Unchanged,10,5
ibsC,1,1,0.0,0,Unchanged,10,5
ibsD,1,1,0.0,0,Unchanged,10,5
azuC,1,1,0.0,0,Unchanged,10,5
sgrT,5,10,1.0,5,Unchanged,10,5
yfcU,353,3690,3.385880727676578,3337,Upregulated,10,5
yhiL,32,433,3.758223214726725,401,Upregulated,10,5
yghX,317,1052,1.730579959152895,735,Upregulated,10,5
yjhZ,2,70,5.129283016944966,68,Upregulated,10,5
yjhY,311,271,-0.19862172877673107,-40,Downregulated,10,5
ythA,1,1,0.0,0,Unchanged,10,5
yjdQ,1,12,3.584962500721156,11,Upregulated,10,5
yicT,1,8,3.0,7,Unchanged,10,5
yibU,1,47,5.554588851677638,46,Upregulated,10,5
yibW,3,83,4.7900769306257684,80,Upregulated,10,5
yibS,3,105,5.129283016944966,102,Upregulated,10,5
ysaD,1,79,6.303780748177103,78,Upregulated,10,5
ysaC,1,1,0.0,0,Unchanged,10,5
mokA,1,15,3.9068905956085187,14,Upregulated,10,5
yrdE,18,203,3.495410915742864,185,Upregulated,10,5
psaA,1,1,0.0,0,Unchanged,10,5
ypjI,5,176,5.137503523749935,171,Upregulated,10,5
pawZ,1,1,0.0,0,Unchanged,10,5
yoeD,1,4,2.0,3,Unchanged,10,5
yoeH,27,18,-0.5849625007211563,-9,Unchanged,10,5
yoeG,160,321,1.0045013922349408,161,Upregulated,10,5
yeeH,1,1,0.0,0,Unchanged,10,5
ttcC,1,1,0.0,0,Unchanged,10,5
uof,1,1,0.0,0,Unchanged,10,5
ybfI,1,14,3.807354922057604,13,Upregulated,10,5
aaaD,6,264,5.459431618637297,258,Upregulated,10,5
xisD,77,169,1.1340928955872829,92,Upregulated,10,5
ylbI,1,1,0.0,0,Unchanged,10,5
ykgQ,1,1,0.0,0,Unchanged,10,5
ykgP,1,1,0.0,0,Unchanged,10,5
ykfK,2,92,5.523561956057013,90,Upregulated,10,5
ykfL,8,186,4.539158811108031,178,Upregulated,10,5
ykfN,1,1,0.0,0,Unchanged,10,5
symR,1,1,0.0,0,Unchanged,10,5
ryjB,1,1,0.0,0,Unchanged,10,5
insO,334,3978,3.5741232683596915,3644,Upregulated,10,5
ytcA,1,290,8.179909090014934,289,Upregulated,10,5
yjbS,1,7,2.807354922057604,6,Unchanged,10,5
yjbT,8,164,4.357552004618084,156,Upregulated,10,5
tisB,1,1,0.0,0,Unchanged,10,5
istR,1,21,4.392317422778761,20,Upregulated,10,5
yibV,3,94,4.9696263509564815,91,Upregulated,10,5
sokA,1,1,0.0,0,Unchanged,10,5
dinQ,2,7,1.8073549220576042,5,Unchanged,10,5
yrhD,1,2,1.0,1,Unchanged,10,5
sibE,3,3,0.0,0,Unchanged,10,5
ryfD,13,3,-2.115477217419936,-10,Downregulated,10,5
ohsC,1,1,0.0,0,Unchanged,10,5
ypfM,1,1,0.0,0,Unchanged,10,5
yojO,1,13,3.700439718141092,12,Upregulated,10,5
rseX,1,1,0.0,0,Unchanged,10,5
cydH,1,1,0.0,0,Unchanged,10,5
ydgU,1,1,0.0,0,Unchanged,10,5
mgtS,1,1,0.0,0,Unchanged,10,5
yncL,1,1,0.0,0,Unchanged,10,5
rydC,1,1,0.0,0,Unchanged,10,5
yciZ,212,57,-1.8950304403984575,-155,Downregulated,10,5
yciY,161,39,-2.0455146592523685,-122,Downregulated,10,5
ymgJ,6,8,0.41503749927884376,2,Unchanged,10,5
ymgI,1,3,1.584962500721156,2,Unchanged,10,5
appX,1,1,0.0,0,Unchanged,10,5
ybfK,1,97,6.599912842187128,96,Upregulated,10,5
ylcI,30,66,1.1375035237499351,36,Upregulated,10,5
ylcH,1,3,1.584962500721156,2,Unchanged,10,5
insN,1725,3383,0.9717068152410945,1658,Upregulated,10,5
ykfM,6,7,0.22239242133644802,1,Unchanged,10,5
chiX,1,1,0.0,0,Unchanged,10,5
yoeA,384,2481,2.6917435191712746,2097,Upregulated,10,5
ybeM,368,1091,1.5678734302665942,723,Upregulated,10,5
yaiT,548,5158,3.234563974828687,4610,Upregulated,10,5
yncK,14,232,4.050626073069968,218,Upregulated,10,5
sgrS,52,86,0.7258250365610057,34,Upregulated,10,5
insB7,37,824,4.477047161554268,787,Upregulated,10,5
yjgX,499,1673,1.745325724701092,1174,Upregulated,10,5
insZ,103,1383,3.7470849139672757,1280,Upregulated,10,5
ylbE,82,3030,5.20755007374223,2948,Upregulated,10,5
lomR,148,2885,4.284902237903895,2737,Upregulated,10,5
